date,time,etapa,matchday,home_team,away_team,city,stadium,status,result,goles_local,goles_visitante,penales_local,penales_visitante,ganador_real,resultado_tipo
2026-06-21,20:00,Fase de grupos,2.0,New Zealand,Egypt,Vancouver,BC Place,Played,1-3,1.0,3.0,,,Egypt,tiempo_reglamentario
2026-06-22,12:00,Fase de grupos,2.0,Argentina,Austria,Arlington,AT&T Stadium,Played,2-0,2.0,0.0,,,Argentina,tiempo_reglamentario
2026-06-22,16:00,Fase de grupos,2.0,France,Iraq,Philadelphia,Lincoln Financial Field,Played,3-0,3.0,0.0,,,France,tiempo_reglamentario
2026-06-22,19:00,Fase de grupos,2.0,Norway,Senegal,East Rutherford,MetLife Stadium,Played,3-2,3.0,2.0,,,Norway,tiempo_reglamentario
2026-06-22,22:00,Fase de grupos,2.0,Jordan,Algeria,Santa Clara,Levi's Stadium,Played,1-2,1.0,2.0,,,Algeria,tiempo_reglamentario
2026-06-23,12:00,Fase de grupos,2.0,Portugal,Uzbekistan,Houston,NRG Stadium,Played,5-0,5.0,0.0,,,Portugal,tiempo_reglamentario
2026-06-23,15:00,Fase de grupos,2.0,England,Ghana,Boston,Gillette Stadium,Played,0-0,0.0,0.0,,,Empate,empate
2026-06-23,18:00,Fase de grupos,2.0,Panama,Croatia,Toronto,BMO Field,Played,0-1,0.0,1.0,,,Croatia,tiempo_reglamentario
2026-06-23,21:00,Fase de grupos,2.0,Colombia,Congo DR,Zapopan,Estadio Akron,Played,1-0,1.0,0.0,,,Colombia,tiempo_reglamentario
2026-06-24,14:00,Fase de grupos,3.0,Switzerland,Canada,Vancouver,BC Place,Played,2-1,2.0,1.0,,,Switzerland,tiempo_reglamentario
2026-06-24,14:00,Fase de grupos,3.0,Bosnia & Herzegovina,Qatar,Seattle,Lumen Field,Played,3-1,3.0,1.0,,,Bosnia & Herzegovina,tiempo_reglamentario
2026-06-24,17:00,Fase de grupos,3.0,Morocco,Haiti,Atlanta,Mercedes-Benz Stadium,Played,4-2,4.0,2.0,,,Morocco,tiempo_reglamentario
2026-06-24,17:00,Fase de grupos,3.0,Scotland,Brazil,Miami Gardens,Hard Rock Stadium,Played,0-3,0.0,3.0,,,Brazil,tiempo_reglamentario
